planKindId	planTheme	proofContractStatus	runtimeContract	proofFamilyCandidate	proofSourceCandidate	existingCarrierCanOpen	newMaterializerOrWitnessNeeded	admissionMode	admissionPriority	nextAdmissionUnit	notes
minority_attack_fixation	weakness_fixation	Releasable	subplan:minority_attack_fixation contract exists; no separate live slice	minority_attack_fixation	carlsbad_fixed_target_probe; minority_attack_fixation	partial: Carlsbad support exists, but docs keep minority attack absorbed support-only	not recommended as separate materializer until it proves a distinct exact owner	support-only/absorbed despite Releasable contract	P3_defer	backward_pawn_targeting	Keep under Carlsbad/backward-pawn target unless a distinct exact row survives.
backward_pawn_targeting	weakness_fixation	Releasable	subplan:backward_pawn_targeting	backward_pawn_targeting	carlsbad_fixed_target_probe	yes: certified current-position Carlsbad probe is live	no for current Carlsbad lane; source expansion only with exact replay	CertifiedOwner open; SupportedLocal possible when weakened	P0_open	backward_pawn_targeting	B15A/B16B and source Evans-Opsahl are current certified evidence.
iqp_inducement	weakness_fixation	Releasable	subplan:iqp_inducement	iqp_inducement	iqp_inducement_probe	yes: exact IQP inducement probe is live	no for current SupportedLocal lane; additional exact source rows can be reviewed	SupportedLocal open; not CertifiedOwner by default	P0_open	iqp_inducement	Several natural IQP source rows already admit as SupportedLocal.
central_break_timing	pawn_break_preparation	Releasable	subplan:central_break_timing	central_break_timing	central_break_timing	yes: board-backed break support and retained exact rows feed the central_break_timing packet	no for board-backed break support; plan-only rows stay review-only	SupportedLocal open through board-backed break support	P0_open	central_break_timing	Broad generic plan_advance remains closed; release still requires branch proof, stable persistence, tactical veto, and rival veto.
wing_break_timing	pawn_break_preparation	Deferred	none	wing_break_timing	wing_break_timing	no	yes: exact flank-break materializer and transform/release taxonomy needed	deferred/support-only	P3_defer	wing_break_timing	Do after central-break machinery, not before.
tension_maintenance	pawn_break_preparation	Deferred	none	tension_maintenance	tension_maintenance	no	yes: exact keep-tension witness plus conversion/rival arbitration needed	deferred/support-only	P4_later	tension_maintenance	High relabel risk with conversion and decision-timing support.
simplification_window	favorable_exchange	Releasable	subplan:simplification_window	simplification_window	simplification_window; classification_transformation_window; exchange_availability_bridge; capture_exchange_transformation; iqp_simplification_profile; plan_match_transformation	yes: bounded favorable simplification exact lane is live	no for current same-task simplification; new rows need exact same-branch proof	CertifiedOwner open; SupportedLocal possible when weakened	P0_open	simplification_window	K09B/K09F and source Salov-Ljubojevic are current certified evidence.
defender_trade	favorable_exchange	Releasable	subplan:defender_trade; runtime:trade_key_defender remains blocked for CertifiedOwner	defender_trade	defender_trade; exchange_forcing_delta	yes: exact defender-trade SupportedLocal lane is live	no for SupportedLocal defender_trade; yes for any future trade_key_defender CertifiedOwner	SupportedLocal open; trade_key_defender CertifiedOwner closed	P0_open	defender_trade	Aronian-Andreikin is current natural SupportedLocal; do not relabel as trade_key_defender.
queen_trade_shield	favorable_exchange	Releasable	subplan:queen_trade_shield	queen_trade_shield	queen_trade_shield	yes: exact queenless-branch shield lane is live	no for current exact slice; source expansion only with exact replay	SupportedLocal open	P1_next	queen_trade_shield	Carlsen-Anand is current natural SupportedLocal.
bad_piece_liquidation	favorable_exchange	Releasable	subplan:bad_piece_liquidation	bad_piece_liquidation	bad_piece_liquidation	partial: contract and proof catalog row exist, but no admitted materializer/source row yet	yes: exact bad-piece before/after witness and rival/relabel taxonomy needed	SupportedLocal proof target	P1_next	bad_piece_liquidation	Best candidate among unopened direct Releasable subplan contracts.
rook_pawn_march	flank_infrastructure	Deferred	none	rook_pawn_march	rook_pawn_march	no	yes: exact flank-space/progress and counterplay-release witness needed	deferred/support-only	P4_later	rook_pawn_march	Do not treat rook-pawn plans as break-prevention without exact family proof.
hook_creation	flank_infrastructure	Deferred	none	hook_creation	hook_creation	no	yes: exact hook creation, file-opening, and tactical-veto witness needed	deferred/support-only	P5_last	hook_creation	Attack-infrastructure overclaim risk; keep support-only.
rook_lift_scaffold	flank_infrastructure	Deferred	none	rook_lift_scaffold	rook_lift_scaffold	no	yes: exact rook-lift route plus threat/prophylaxis arbitration needed	deferred/support-only	P5_last	rook_lift_scaffold	Very likely to be tactical-first or support-only.
simplification_conversion	advantage_transformation	Deferred	none	simplification_conversion	simplification_conversion	partial: truth layer knows conversion roles, but plan-kind owner path is closed	yes: exact conversion handoff witness distinct from simplification_window needed	deferred/support-only	P3_defer	simplification_window_then_conversion	Do not let same-task simplification masquerade as task-shift conversion.
passer_conversion	advantage_transformation	Deferred	none	passer_conversion	passer_conversion	no	yes: passer creation/conversion witness plus engine path and fortress checks needed	deferred/support-only	P4_later	passer_conversion	Endgame/structure support can remain visible but not owner authority.
passed_pawn_manufacture	advantage_transformation	Deferred	none	passed_pawn_manufacture	passed_pawn_manufacture	no	yes: exact structure-transition and best-defense proof needed	deferred/support-only	P3_defer	passed_pawn_manufacture	More concrete than broad conversion, but still needs new witness.
invasion_transition	advantage_transformation	Deferred	none	invasion_transition	invasion_transition	partial: opening/endgame transition translators exist for their domains, not this plan-kind owner	yes: exact invasion square/route handoff materializer needed	deferred/support-only	P4_later	invasion_transition	Keep separate from move-linked opening/endgame translators.
opposite_bishops_conversion	advantage_transformation	Deferred	none	opposite_bishops_conversion	opposite_bishops_conversion	no	yes: endgame oracle/progress/fortress discrimination required	deferred/support-only	P5_last	opposite_bishops_conversion	Do not open before fortress/progress separation is stronger.
forcing_tactical_shot	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	forcing_tactical_shot	forcing_tactical_shot	yes as tactical truth, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	Tactical truth outranks strategic prose.
defender_overload	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	defender_overload	defender_overload	yes as tactical motif support, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	Keep overload as tactical/support motif unless another legal owner exists.
clearance_break	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	clearance_break	clearance_break	yes as tactical motif support, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	Clearance belongs to tactical-first verification.
battery_pressure	immediate_tactical_gain	BackendOnly	backend-only tactical truth contract	battery_pressure	battery_pressure	yes as tactical motif support, not as strategic owner proof	no strategic materializer; tactical engine/proof lane owns	tactical-first; no strategic admission	X_tactical	none	May support forcing explanation but cannot become strategic admission.
